CMDLINE /home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/bin/python cp_rank_experimenter.py
MEM 639.417969 1729164850.3261
MEM 650.242188 1729164850.4265
MEM 654.742188 1729164850.5268
MEM 666.117188 1729164850.6271
MEM 698.492188 1729164850.7274
MEM 706.742188 1729164850.8277
MEM 706.742188 1729164850.9281
MEM 706.742188 1729164851.0284
MEM 706.742188 1729164851.1288
MEM 706.742188 1729164851.2291
MEM 706.742188 1729164851.3294
MEM 706.742188 1729164851.4298
MEM 706.742188 1729164851.5301
MEM 706.742188 1729164851.6305
MEM 706.742188 1729164851.7308
MEM 706.742188 1729164851.8310
MEM 706.742188 1729164851.9314
MEM 706.742188 1729164852.0317
MEM 706.742188 1729164852.1319
MEM 706.742188 1729164852.2322
MEM 706.742188 1729164852.3325
MEM 706.742188 1729164852.4328
MEM 706.742188 1729164852.5330
MEM 706.742188 1729164852.6334
MEM 706.742188 1729164852.7337
MEM 706.867188 1729164852.8341
MEM 706.867188 1729164852.9345
MEM 706.867188 1729164853.0349
MEM 706.867188 1729164853.1352
MEM 706.867188 1729164853.2356
MEM 706.867188 1729164853.3358
MEM 706.867188 1729164853.4361
MEM 706.867188 1729164853.5364
MEM 706.867188 1729164853.6368
MEM 706.867188 1729164853.7372
MEM 706.867188 1729164853.8375
MEM 706.867188 1729164853.9378
MEM 706.867188 1729164854.0382
MEM 706.867188 1729164854.1385
MEM 706.867188 1729164854.2388
MEM 706.867188 1729164854.3391
MEM 706.867188 1729164854.4394
MEM 706.867188 1729164854.5397
MEM 706.867188 1729164854.6400
MEM 706.867188 1729164854.7404
MEM 706.867188 1729164854.8408
MEM 706.867188 1729164854.9414
MEM 706.867188 1729164855.0421
MEM 706.867188 1729164855.1427
MEM 706.867188 1729164855.2434
MEM 706.867188 1729164855.3442
MEM 706.867188 1729164855.4448
MEM 706.867188 1729164855.5452
MEM 706.867188 1729164855.6459
MEM 706.867188 1729164855.7467
MEM 706.867188 1729164855.8478
MEM 706.867188 1729164855.9488
MEM 706.867188 1729164856.0498
MEM 706.867188 1729164856.1508
MEM 706.867188 1729164856.2517
MEM 706.867188 1729164856.3524
MEM 706.867188 1729164856.4531
MEM 706.867188 1729164856.5537
MEM 706.867188 1729164856.6545
MEM 706.867188 1729164856.7552
MEM 706.867188 1729164856.8557
MEM 706.867188 1729164856.9562
MEM 706.867188 1729164857.0567
MEM 706.867188 1729164857.1572
MEM 706.867188 1729164857.2577
MEM 706.867188 1729164857.3582
MEM 706.867188 1729164857.4592
MEM 706.867188 1729164857.5596
MEM 706.867188 1729164857.6604
MEM 706.867188 1729164857.7612
MEM 706.867188 1729164857.8619
MEM 706.867188 1729164857.9627
MEM 706.867188 1729164858.0634
MEM 706.867188 1729164858.1642
MEM 706.867188 1729164858.2649
MEM 706.867188 1729164858.3658
MEM 706.867188 1729164858.4668
MEM 706.867188 1729164858.5677
MEM 706.867188 1729164858.6687
MEM 706.867188 1729164858.7697
MEM 706.867188 1729164858.8708
MEM 706.867188 1729164858.9717
MEM 706.867188 1729164859.0728
MEM 706.867188 1729164859.1739
MEM 706.867188 1729164859.2749
MEM 706.867188 1729164859.3759
MEM 706.867188 1729164859.4768
MEM 706.867188 1729164859.5779
MEM 706.867188 1729164859.6788
MEM 706.867188 1729164859.7797
MEM 706.867188 1729164859.8804
MEM 706.867188 1729164859.9812
MEM 706.867188 1729164860.0819
MEM 706.867188 1729164860.1826
MEM 706.867188 1729164860.2831
MEM 706.867188 1729164860.3836
MEM 706.867188 1729164860.4841
MEM 706.867188 1729164860.5846
MEM 706.867188 1729164860.6851
MEM 706.867188 1729164860.7856
MEM 706.867188 1729164860.8860
MEM 706.867188 1729164860.9864
MEM 706.867188 1729164861.0869
MEM 706.867188 1729164861.1872
MEM 706.867188 1729164861.2876
MEM 706.867188 1729164861.3882
MEM 706.867188 1729164861.4885
MEM 706.867188 1729164861.5889
MEM 706.867188 1729164861.6892
MEM 706.867188 1729164861.7897
MEM 706.867188 1729164861.8901
MEM 706.867188 1729164861.9905
MEM 706.867188 1729164862.0909
MEM 706.867188 1729164862.1913
MEM 706.867188 1729164862.2916
MEM 706.867188 1729164862.3920
MEM 706.867188 1729164862.4925
MEM 706.867188 1729164862.5929
MEM 706.867188 1729164862.6932
MEM 706.867188 1729164862.7936
MEM 706.867188 1729164862.8940
MEM 706.867188 1729164862.9944
MEM 706.867188 1729164863.0948
MEM 706.867188 1729164863.1952
MEM 706.867188 1729164863.2956
MEM 706.867188 1729164863.3959
MEM 706.867188 1729164863.4962
MEM 706.867188 1729164863.5965
MEM 706.867188 1729164863.6968
MEM 706.867188 1729164863.7971
MEM 706.867188 1729164863.8974
MEM 706.867188 1729164863.9977
